text,Manual Classification,Classification,Correct or Incorrect, 
 second half city get us under way again cityvlfc mcfc n n ud d udd ud d udd t co vnttklwrt ,neutral,negative,incorrect,
 karakanayasoka wa vokoli maragoli ni game poa wazito natakia ti u ,neutral,negative,incorrect,
 um,neutral,positive,incorrect,
 we bottled,neutral,positive,incorrect,
 semoga musim depan klopp eveluasi lagi dan lfc punya striker bertipe n perusak prahara rumah tangga lawan t co sbtimr bcd ,neutral,positive,incorrect,
 living life on the edge defensively,neutral,positive,incorrect,
 pep guardiola u cthis is one of the happiest days of my life as a manager how we played against liverpool means a l u ,positive,positive,correct,
 liverpool fc manchester city liverpool follow live coverage t co hvigdttgup lfc ,neutral,positive,incorrect,
 come on you red men,positive,positive,correct,
 was vital not to lose that,neutral,neutral,correct,
 it has everything but goals so far ud d udd ud d udd t co qx otj ,positive,positive,correct,
 what a bloody tackle from milner fernandinho is comical mcfc mciliv lfc ,negative,negative,correct,
 great game so open,positive,neutral,incorrect,
 what a goal that would ve been mciliv ,positive,positive,correct,
 le rateeeeeeeeeee de l anneeeeeeeeeeeeeee n mciliv ,neutral,positive,incorrect,
 not a penalty because reasons lfc ,neutral,negative,incorrect,
 james milner scored liverpool s th penalty in all competed recorded at lfc n n t co vphrz cw h ,neutral,negative,incorrect,
 it s been a fine first half,positive,positive,correct,
 great thing about watching a game at etihad on tv is that you don t understand a word that the adverts say chinese ,negative,positive,incorrect,
 it s boringmilner,neutral,positive,incorrect,
 vinner begge hengekampene,neutral,positive,incorrect,
 det er meg helt uforst u e elig hvorfor manchester city supportere piper p u e milner han gjorde en solid jobb for de i u e r mye p u e benk mciliv ,neutral,positive,incorrect,
 mciliv bonus points as it stands n n u toure n u clichy n u coutinho,neutral,negative,incorrect,
 what the heck is she putting inside n mciliv n t co z q dejgb ,negative,negative,correct,
 best possible way for milner to silence the boo boys lfc lead at the etihad,neutral,neutral,correct,
 come on city ud d udc t co rrt fz j ,positive,positive,correct,
 ht manchester city liverpool not the best not the worst big second half coming up lfc mciliv cityvlfc t c u ,neutral,neutral,correct,
 bring in bravo we need goals mciliv ,positive,negative,incorrect,
 mciliv mcfc cityvlfc lfc t co e ddd r b ,neutral,positive,incorrect,
 got to be emre can s best performance for lfc thought he was immense today ,positive,positive,correct,
 ndeep in my heart,positive,positive,correct,
 lollolna ,neutral,positive,incorrect,
 roses are red,neutral,positive,incorrect,
 u starfootballleague n u mciliv n u a mufc n u b stephen odey n u c drpaul yahweh video n n wat trndnl t co zx a ks ,neutral,negative,incorrect,
 mane with some insane pace,positive,negative,incorrect,
 fucking hell i m sitting in the gym and mciliv is on and the people here just went wild when lallana bottled it to make it ud d ude ,negative,negative,correct,
 a good battle ud d udd ud d udd t co y qkgj gg ,positive,neutral,incorrect,
 city will not finish in the top period you can take that to the bank,neutral,neutral,correct,
 what the heck is she putting inside n mciliv n t co e qnkfuwqy ,negative,negative,correct,
 milner to liverpool free n nsterling to city u a m n nlfc might lose their young potential player,positive,positive,correct,
 cabellero doing a dwight gayle here and turning up against lfc ,positive,positive,correct,
 ud d udcf sergio aguero celebrates man city s equaliser against liverpool n nit s with mins remaining mciliv t c u ,positive,positive,correct,
 ft ud d udd ud d udd n nan absorbing game at the etihad as the points are shared cityvlfc mcfc t co s xfbiweta ,neutral,negative,incorrect,
 she s beautiful n mciliv n t co xlxhxtjhgr ,positive,positive,correct,
