yes or no,manual,score,text
yes,0,0, SECOND HALF City get us under way again cityvlfc mcfc n n ud d udd ud d udd t co VntTklwrT 
yes,0,0, karakanayasoka wa vokoli maragoli ni game poa wazito natakia ti u 
yes,0,0, Um
no,-1,0, We bottled
yes,0,0, Semoga musim depan Klopp eveluasi lagi dan LFC punya striker bertipe n Perusak Prahara Rumah Tangga Lawan t co sBTimr BCD 
yes,0,0, living life on the edge defensively
no,1,1, Pep Guardiola u cThis is one of the happiest days of my life as a manager How we played against Liverpool means a l u 
yes,0,0, Liverpool FC Manchester City Liverpool Follow live coverage t co HvIgdttGUp lfc 
yes,0,0, Come on you Red men
no,1,-1, Was vital not to lose that
yes,0,0, It has everything but goals so far ud d udd ud d udd t co Qx Otj 
yes,-1,-2, What a bloody tackle from Milner Fernandinho is comical MCFC MCILIV LFC 
yes,1,1, Great game So open
no,1,0, What a goal that would ve been MCILIV 
yes,0,0, LE RATEEEEEEEEEEE DE L ANNEEEEEEEEEEEEEEE n MCILIV 
yes,-1,-1, Not a penalty because reasons LFC 
yes,-1,-1, James Milner scored Liverpool s th penalty in all competed recorded at LFC n n t co VphrZ cW h 
yes,1,1, It s been a fine first half
yes,1,1, Great thing about watching a game at Etihad on tv is that you don t understand a word that the adverts say Chinese 
yes,0,0, It s BoringMilner
yes,0,0, Vinner begge hengekampene
no,0,1, Det er meg helt uforst u e elig hvorfor Manchester City supportere piper p u e Milner Han gjorde en solid jobb for de i u e r Mye p u e benk MCILIV 
no,0,1, MCILIV BONUS POINTS AS IT STANDS n n u Toure n u Clichy n u Coutinho
yes,-1,-1, WHAT THE HECK is she putting inside n MCILIV n t co z Q dejGB 
yes,2,2, Best possible way for Milner to silence the boo boys LFC lead at the Etihad
yes,0,0, COME ON CITY ud d udc t co rRt FZ j 
yes,0,0, HT Manchester City Liverpool Not the best Not the worst Big second half coming up LFC MCILIV cityvlfc t c u 
yes,1,1, Bring in Bravo We need goals MCILIV 
yes,0,0, MCILIV MCFC cityvlfc LFC t co e dDd r B 
yes,2,2, Got to be Emre Can s best performance for LFC Thought he was immense today 
yes,0,0, nDeep in my heart
yes,0,0, Lollolna 
yes,0,0, Roses are red
yes,0,0, u StarFootballLeague n u MCILIV n u a MUFC n u b Stephen Odey n u c DrPaul Yahweh Video n n WAT trndnl t co zX A KS 
no,1,-1, Mane with some insane pace
yes,-3,-3, Fucking hell I m sitting in the gym and MCILIV is on and the people here just went wild when Lallana bottled it to make it ud d ude 
yes,1,1, A good battle ud d udd ud d udd t co Y qkgJ GG 
no,0,1, City will not finish in the top period You can take that to the bank
yes,-1,-1, WHAT THE HECK is she putting inside n MCILIV n t co e QnkfuWQY 
yes,0,0, Milner to Liverpool free n nSterling to City u a m n nLFC might lose their young potential player
no,1,0, Cabellero doing a Dwight Gayle here and turning up against LFC 
no,1,0, ud d udcf Sergio Aguero celebrates Man City s equaliser against Liverpool n nIt s with mins remaining MCILIV t c u 
yes,0,0, FT ud d udd ud d udd n nAn absorbing game at the Etihad as the points are shared cityvlfc mcfc t co S XFBiWETa 
yes,1,1, She s Beautiful n MCILIV n t co XlxHXtjHGR 
yes,0,0, u e u e u e u e u e u e a u e u e u e u e c u e d u e u e u e u e u e u e u e d u e u e u e a u e c u e u e a u e u e u e u e u e a u e d u e u e c u e u e u e u e u e u e d u e u e u e u e u e u e u e u e u e u e u e u e u e u e u e u e u e u e u e a u e u e u e u e c u e u e u e u e b u e u e d u e u e u e u e u e u e u e u e u e u e u e u e u e a u e u e u e u e c u e a u e d u e a u e u e u e d u e u e u e u e ud d ude ud d ude ud d ude LFC 
yes,0,0, Sergio Aguero cette apr u e s midi MCILIV t co mjYnxIIpDJ 
yes,0,0, ud d udcf James Milner makes it ufe f u e out of ufe f u e from the u aa ufe f this season n nIt s Man City Liverpool mins MCILIV u 
no,1,0, YESSSS LOFTEY t co IdlxvBDUTq 
no,-1,0, Toure should be off
yes,0,0, D u e couvrez le Jardin M u e morial de l Etihad Stadium u e ManCity amp la grande tradition des supporters anglais ud d ude f u bd ufe f ud c uddec ud c udde u 
no,0,-1, Missarnas match Fortsatt obesegrat mot topp sex i alla fall LFC 
no,0,1, Betvictor New Custom nBet u a Get n football golf EPL SFC n LFC mufc MCFC AFC nEntry k Golden Goal Claim u t co YS A wQrwI 
yes,0,0, u a u u u f u u a u u u u u u f u a u SaudiTrendat n cityvlfc n u u a u u a u u u u u u u u u a u u u u u u u u a u f n u u u u u u a u a u u u u u u f u u u u a u u u a n MCILIV u u a u u u a u u u u a u t co TuXooKwFst u 
yes,1,1, Can playing well so far Looking to add a few extra K LFC 
yes,-1,-1, WHAT THE HECK is she putting inside n MCILIV n t co C ARPoXyn 
yes,-1,-1, WHAT THE HECK is she putting inside n MCILIV n t co IAGHLwIRE 
no,1,0, Get in there Milner LFC YNWA 
yes,0,0, GOOOOOOAL MILNERRRR t co RfdB QSUwY 
yes,1,1, LFC Relief for the Reds n nSterling can t finish from a cross and neither can Fernandinho on the follow up n n 
yes,-1,-1, He s playing bad
yes,0,0, each
no,-1,0, FECKIN C MANNNNNNNNNN LFC 
yes,1,1, Can is freaking amazing He did a lot of work both in defence and offense LFC 
yes,0,0, u Yellow Card Man City nMan City Liverpool n MCILIV t co yNhb kG qG 
yes,1,1, Proper game of football that Take a point LFC 
yes,0,0, You should be a comedian t co BCbfcVKIMa 
yes,1,1, Good to see you n n ud d udd ud d udd t co oirVEYlIJ 
yes,0,0, u n n t co iS RaWtNF 
yes,0,0, Matches between Premier League s big slightly irrelevant league table n n LFC n CFC n THFC n MCFC n MUFC u 
