"text","emotion","polarity"
" second half city get us under way again cityvlfc mcfc n n ud d udd ud d udd t co vnttklwrt ","sadness","negative"
" karakanayasoka wa vokoli maragoli ni game poa wazito natakia ti u ","unknown","negative"
" um","unknown","positive"
" we bottled","unknown","positive"
" semoga musim depan klopp eveluasi lagi dan lfc punya striker bertipe n perusak prahara rumah tangga lawan t co sbtimr bcd ","anger","positive"
" living life on the edge defensively","unknown","positive"
" pep guardiola u cthis is one of the happiest days of my life as a manager how we played against liverpool means a l u ","joy","positive"
" liverpool fc manchester city liverpool follow live coverage t co hvigdttgup lfc ","joy","positive"
" come on you red men","unknown","positive"
" was vital not to lose that","unknown","neutral"
" it has everything but goals so far ud d udd ud d udd t co qx otj ","unknown","positive"
" what a bloody tackle from milner fernandinho is comical mcfc mciliv lfc ","unknown","negative"
" great game so open","joy","neutral"
" what a goal that would ve been mciliv ","unknown","positive"
" le rateeeeeeeeeee de l anneeeeeeeeeeeeeee n mciliv ","unknown","positive"
" not a penalty because reasons lfc ","unknown","negative"
" james milner scored liverpool s th penalty in all competed recorded at lfc n n t co vphrz cw h ","unknown","negative"
" it s been a fine first half","unknown","positive"
" great thing about watching a game at etihad on tv is that you don t understand a word that the adverts say chinese ","joy","positive"
" it s boringmilner","unknown","positive"
" vinner begge hengekampene","unknown","positive"
" det er meg helt uforst u e elig hvorfor manchester city supportere piper p u e milner han gjorde en solid jobb for de i u e r mye p u e benk mciliv ","fear","positive"
" mciliv bonus points as it stands n n u toure n u clichy n u coutinho","unknown","negative"
" what the heck is she putting inside n mciliv n t co z q dejgb ","unknown","negative"
" best possible way for milner to silence the boo boys lfc lead at the etihad","unknown","neutral"
" come on city ud d udc t co rrt fz j ","unknown","positive"
" ht manchester city liverpool not the best not the worst big second half coming up lfc mciliv cityvlfc t c u ","unknown","neutral"
" bring in bravo we need goals mciliv ","unknown","negative"
" mciliv mcfc cityvlfc lfc t co e ddd r b ","unknown","positive"
" got to be emre can s best performance for lfc thought he was immense today ","unknown","positive"
" ndeep in my heart","joy","positive"
" lollolna ","unknown","positive"
" roses are red","unknown","positive"
